Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018,Priority School District_FY 2017,Priority School District_FY 2018
Ledyard," 589,458 ",0, 0 ,0," 878,678 ",0," 22,462 "," 21,434 "," 11,977,384 "," 5,988,692 "," 307,619 ",0," 2,881 ",0,0, 0 ," 13,778,482 "," 6,010,126 ",,0
Lisbon, 130 ,0, 0 ,0," 23,657 ",0," 9,838 "," 11,442 "," 3,518,715 "," 1,759,358 "," 45,413 ",0, 0 ,0,0, 0 ," 3,597,753 "," 1,770,800 ",,0
Litchfield," 24,449 ",0, 0 ,0," 18,270 ",0," 1,271 "," 1,195 "," 1,446,598 ", 0 ," 169,828 ",0," 13,303 ",0,0, 0 ," 1,673,719 "," 1,195 ",,0
Lyme, 0 ,0, 0 ,0," 8,343 ",0, 0 , 0 ," 63,069 ", 0 ," 21,862 ",0, 0 ,0,0, 0 ," 93,274 ", 0 ,,0
Madison," 368,911 ",0, 0 ,0," 19,466 ",0," 6,941 "," 7,501 "," 446,496 ", 0 ," 372,897 ",0, 0 ,0,0, 0 ," 1,214,711 "," 7,501 ",,0
Manchester," 555,314 ",0," 810,890 ",0," 570,820 ",0," 631,257 "," 639,112 "," 34,440,424 "," 34,440,424 "," 1,972,491 ",0, 0 ,0,0," 989,288 "," 38,981,196 "," 36,068,824 ",,0
Mansfield," 7,131,699 ",0, 0 ,0," 204,996 ",0, 0 , 0 ," 9,947,410 "," 5,968,446 "," 525,280 ",0," 2,516,331 ",0,0, 0 ," 20,325,716 "," 5,968,446 ",,0
Marlborough, 0 ,0, 0 ,0," 18,541 ",0, 0 , 0 ," 3,154,015 ", 0 ," 131,065 ",0, 0 ,0,0, 0 ," 3,303,621 ", 0 ,,0
Meriden," 192,354 ",0," 1,175,795 ",0," 865,535 ",0," 973,216 "," 944,322 "," 60,258,395 "," 60,258,395 "," 1,315,347 ",0," 248,303 ",0,0, 0 ," 65,028,945 "," 61,202,717 ",1390614.0,0
Middlebury, 0 ,0, 0 ,0," 15,721 ",0, 0 , 0 ," 855,086 ", 0 ," 154,299 ",0, 0 ,0,0, 0 ," 1,025,106 ", 0 ,,0
Middlefield, 33 ,0, 0 ,0," 17,336 ",0, 0 , 0 ," 2,099,315 ", 0 ," 91,372 ",0, 0 ,0,0, 0 ," 2,208,056 ", 0 ,,0
Middletown," 2,224,822 ",0," 3,826,085 ",0," 1,195,934 ",0," 1,249,158 "," 1,281,469 "," 19,515,825 "," 19,515,825 "," 964,657 ",0," 695,770 ",0,0," 1,262,740 "," 29,672,251 "," 22,060,034 ",,0
Milford," 195,096 ",0," 419,820 ",0," 380,756 ",0," 39,547 "," 41,553 "," 10,849,101 ", 0 ," 1,880,830 ",0, 0 ,0,0, 0 ," 13,765,150 "," 41,553 ",,0
Monroe, 46 ,0, 0 ,0," 33,321 ",0," 12,713 "," 13,779 "," 6,394,518 ", 0 ," 404,221 ",0, 0 ,0,0, 0 ," 6,844,819 "," 13,779 ",,0
Montville," 1,785,473 ",0, 0 ,0," 952,470 ",0," 33,317 "," 33,611 "," 12,589,621 "," 6,294,811 "," 401,756 ",0," 25,080 ",0,0, 0 ," 15,787,717 "," 6,328,422 ",,0
Morris, 820 ,0, 0 ,0," 11,054 ",0, 0 , 0 ," 102,178 ", 0 ," 28,110 ",0, 0 ,0,0, 0 ," 142,162 ", 0 ,,0
Naugatuck," 2,998 ",0, 0 ,0," 230,356 ",0," 204,943 "," 202,559 "," 30,280,380 "," 30,280,380 "," 2,405,660 ",0, 0 ,0,0," 1,410,093 "," 33,124,337 "," 31,893,032 ",,0
New Britain," 3,276,462 ",0," 2,520,682 ",0," 2,193,488 ",0," 546,113 "," 587,827 "," 86,195,269 "," 86,195,269 "," 5,781,991 ",0," 1,995,060 ",0,0," 3,606,275 "," 102,509,065 "," 90,389,371 ",2317916.0,0
New Canaan," 7,331 ",0, 0 ,0," 8,954 ",0, 69 , 34 ," 339,590 ", 0 ," 168,106 ",0, 0 ,0,0, 0 ," 524,050 ", 34 ,,0
New Fairfield, 127 ,0, 0 ,0," 29,123 ",0," 3,961 "," 3,755 "," 4,338,569 ", 0 ," 288,278 ",0, 0 ,0,0, 0 ," 4,660,058 "," 3,755 ",,0
New Hartford, 0 ,0, 0 ,0," 19,069 ",0," 2,691 "," 2,845 "," 3,113,169 ", 0 ," 140,338 ",0, 0 ,0,0, 0 ," 3,275,267 "," 2,845 ",,0
New Haven," 6,013,572 ",0," 40,688,189 ",0," 5,794,422 ",0," 2,796,517 "," 2,727,038 "," 154,301,977 "," 154,301,977 "," 2,118,290 ",0," 14,584,940 ",0,0," 2,038,496 "," 226,297,907 "," 159,067,511 ",5830307.0,0
New London," 295,665 ",0," 4,710,585 ",0," 1,737,694 ",0," 1,126,586 "," 1,113,961 "," 25,806,077 "," 25,806,077 "," 750,249 ",0," 1,297,919 ",0,0," 113,053 "," 35,724,775 "," 27,033,091 ",1137591.0,0
New Milford, 194 ,0," 89,321 ",0," 76,718 ",0," 33,326 "," 40,986 "," 11,832,806 "," 1,183,281 "," 565,898 ",0, 0 ,0,0, 0 ," 12,598,263 "," 1,224,267 ",,0
Newington," 560,153 ",0," 1,529,519 ",0," 248,178 ",0," 38,839 "," 37,300 "," 12,983,806 "," 1,298,381 "," 651,000 ",0," 169,211 ",0,0, 0 ," 16,180,706 "," 1,335,681 ",,0
Newtown," 733,247 ",0, 0 ,0," 911,124 ",0," 4,497 "," 4,054 "," 4,893,944 ", 0 ," 572,949 ",0, 0 ,0,0, 0 ," 7,115,761 "," 4,054 ",,0
